"--Please Select--","--Please Select--"
"3D-Secure: Redirecting customer to a verification page.","3D-Secure: Redirecting customer to a verification page."
"ABN iDEAL","ABN iDEAL"
"Authorize","Authorize"
"Authorize (3D-Secure)","Authorize (3D-Secure)"
"Cannot Refund","This transaction cannot be refunded."
"Card Verification Number","Card Verification Number"
"CashU","CashU"
"Citadel","Citadel Payin"
"Click here, if you are not redirected within 10 seconds...","Click here, if you are not redirected within 10 seconds..."
"Credit Card Number","Credit Card Number"
"Credit Card Type","Credit Card Type"
"Expiration Date","Expiration Date"
"eZeeWallet","eZeeWallet"
"GiroPay","GiroPay"
"iDebit","iDebit Payin"
"INPay","INPay"
"InstaDebit","InstaDebit Payin"
"Magento Payment","Magento Payment"
"Magento Capture","Magento Capture"
"Magento Refund","Magento Refund"
"Magento Void","Magento Void"
"Month","Month"
"More details about the individual transactions can be found under the ""Transactions"" section","More details about the individual transactions can be found under the ""Transactions"" section"
"Mr.Cash","Mr.Cash"
"MyBank","MyBank"
"Name on Card","Name on Card"
"Neteller","Neteller"
"No","No"
"OnlineBanking","OnlineBanking"
"P24","P24"
"PayPal Express","PayPal Express"
"PaySafeCard","PaySafeCard"
"Przelewy24","Przelewy24"
"Qiwi","Qiwi"
"SafetyPay","SafetyPay"
"Sale","Sale"
"Sale (3D-Secure)","Sale (3D-Secure)"
"Sepa Direct Debit","Sepa Direct Debit"
"SOFORT","SOFORT"
"Trustly","Trustly Sale"
"TrustPay","TrustPay"
"We were unable to process your payment! Please check your input or try again later.","We were unable to process your payment! Please check your input or try again later."
"What is this?","What is this?"
"Year","Year"
"Yes","Yes"
"You are being redirected to a secure page, where you can complete your payment!","You are being redirected to a secure page, where you can complete your payment!"
"You are being redirected!","You are being redirected!"
"You will be redirected to our partner's website, where you can safely pay with your credit card.","You will be redirected to our partner's website, where you can safely pay with your credit card."
"Your payment session has been cancelled successfully!","Your payment session has been cancelled successfully!"
"eps","eps"
"You cannot finish the payment as a guest, please login / register.","You cannot finish the payment as a guest, please login / register."
